trend_id,title,channel_id,category_id,publish_id,views,likes
5,240Z - More Power + How Much Did It Cost?,510,2,31,460877,19116
0,240Z - RB26 Engine Conversion [PART 10] IT'S DONE!!,510,2,26,462474,26347
1,240Z - RB26 Engine Conversion [PART 10] IT'S DONE!!,510,2,26,571986,29662
2,25 EASY LAZY-GIRL HACKS FOR LOOKING GOOD,5,26,28,2190075,34619
4,25 EASY LAZY-GIRL HACKS FOR LOOKING GOOD,5,26,28,5412459,62407
3,25 EASY LAZY-GIRL HACKS FOR LOOKING GOOD,5,26,28,4564959,52984
5,25 SCHOOL HACKS THAT ARE SIMPLY BRILLIANT,5,26,31,1725426,20843
12,28-Year-Old Makes 6 Figures Selling Potatoes Online ft. Tim DeLaGhetto & DavidSoComedy,410,25,37,120732,3713
7,"2nd Quarter, One Box Video: Cleveland Cavaliers vs. Golden State Warriors",518,17,34,358770,964
4,"2nd Quarter, One Box Video: Golden State Warriors vs. Cleveland Cavaliers",518,17,29,300795,684
1,"2nd Quarter, One Box Video: Golden State Warriors vs. Cleveland Cavaliers",518,17,26,350217,1053
3,"2nd Quarter, One Box Video: Golden State Warriors vs. Cleveland Cavaliers",518,17,29,299238,679
2,"2nd Quarter, One Box Video: Golden State Warriors vs. Cleveland Cavaliers",518,17,29,293592,655
9,3 Arguments Why Marijuana Should Stay Illegal Reviewed,432,27,35,1508523,148014
11,3 Arguments Why Marijuana Should Stay Illegal Reviewed,432,27,35,2228485,187326
10,3 Arguments Why Marijuana Should Stay Illegal Reviewed,432,27,35,2058702,179149
11,3 BIGGEST MISTAKES Judges Made EVER!,528,24,37,200700,1511
10,3 Colors of Glue Slime Challenge! / AllAroundAudrey,36,22,35,406129,7295
9,3 Colors of Glue Slime Challenge! / AllAroundAudrey,36,22,35,187330,4992
0,3 Frozen Food Cooking HACKS For Lazy People!,163,26,26,80309,3217
1,3 Scary True Find My iPhone Horror Stories,522,24,25,797255,40018
2,3 Scary True Find My iPhone Horror Stories,522,24,25,918652,42666
0,3 Scary True Find My iPhone Horror Stories,522,24,25,665541,36613
2,4 FAILS MILITAIRES les plus CHERS de l'HISTOIRE,797,27,28,279486,18455
2,40ft Shipping Containers Transformed Into Amazing Off-Grid Family Home,457,26,26,285254,9060
1,40ft Shipping Containers Transformed Into Amazing Off-Grid Family Home,457,26,26,186874,7205
12,435,807,27,16,2252933,129865
10,435,807,27,16,2207247,129365
9,435,807,27,16,2181600,129057
8,435,807,27,16,2168881,128910
7,435,807,27,16,2127937,128258
6,435,807,27,16,2094409,127595
5,435,807,27,16,2063734,127133
4,435,807,27,16,2035356,126806
3,435,807,27,16,1988638,126142
2,435,807,27,16,1951430,125622
1,435,807,27,16,1909104,124857
11,435,807,27,16,2231588,129636
0,435,807,27,16,1859577,123928
7,5 As Seen on TV Kitchen Gadgets put to the Test,177,28,33,277587,10433
8,5 As Seen on TV Kitchen Gadgets put to the Test,177,28,33,616130,17150
3,5 As Seen on TV Products Test!,177,28,29,263234,10376
6,5 Creepy Things Kids Have Said,323,24,31,210208,6855
5,5 Creepy Things Kids Have Said,323,24,31,171616,6057
9,5 Creepy Weather Phenomena That Shouldn't Be Allowed,655,27,35,91555,3889
1,5 Seconds Of Summer - Youngblood (Acoustic),6,10,25,322352,43578
12,5 Seconds Of Summer - Youngblood (Acoustic),6,10,25,633790,53429
11,5 Seconds Of Summer - Youngblood (Acoustic),6,10,25,621962,53226
10,5 Seconds Of Summer - Youngblood (Acoustic),6,10,25,608528,52966
9,5 Seconds Of Summer - Youngblood (Acoustic),6,10,25,593710,52702
8,5 Seconds Of Summer - Youngblood (Acoustic),6,10,25,587424,52572
7,5 Seconds Of Summer - Youngblood (Acoustic),6,10,25,554819,51944
5,5 Seconds Of Summer - Youngblood (Acoustic),6,10,25,506991,50734
4,5 Seconds Of Summer - Youngblood (Acoustic),6,10,25,483969,50074
3,5 Seconds Of Summer - Youngblood (Acoustic),6,10,25,441043,48470
2,5 Seconds Of Summer - Youngblood (Acoustic),6,10,25,389437,46453
6,5 Seconds Of Summer - Youngblood (Acoustic),6,10,25,531339,51432
0,5 Seconds Of Summer - Youngblood (Acoustic),6,10,25,218654,37969
12,5 Watermelon Gadgets put to the Test,177,28,37,611702,17829
11,5 Watermelon Gadgets put to the Test,177,28,37,347015,12691
0,5 books worth reading this summer,94,29,15,320924,10582
1,5 books worth reading this summer,94,29,15,326502,10720
2,5 books worth reading this summer,94,29,15,333587,10918
0,50 Facts You Didn't Know About Sanjay Dutt | SANJU,7,24,24,1265854,22735
4,50 People Try to Make Scrambled Eggs | Epicurious,248,24,30,110923,1929
0,57 Facts You Didn't Know About Kristin • Ladylike,436,22,24,601319,37873
10,6 BUGS FOUS de TON CERVEAU 🧠,797,27,35,566712,34761
9,6 BUGS FOUS de TON CERVEAU 🧠,797,27,35,396463,28469
8,6 BUGS FOUS de TON CERVEAU 🧠,797,27,35,245539,24543
1,6 Cheese Gadgets put to the Test!,177,28,14,1566455,27236
0,6 Cheese Gadgets put to the Test!,177,28,14,1546386,27031
10,6 Chilling REINCARNATED CHILDREN STORIES | Kids Who Remember Their Past Lives,844,27,26,152129,2207
2,6 Everyday Ways Science Protects You from Your Poop,655,27,28,85799,4613
12,6 weeks in CARTAGENA,846,24,38,128580,14330
10,6ix9ine Denied entry to Summerjam after showing up with 100 Goons Uninvited.,188,23,36,305902,4543
12,6ix9ine pulls up to O Block after arguing w/ FBG Duck and Calls it 'NO BLOCK'. People say he lying,188,23,39,184850,5057
2,7  IDÉES DE MAQUILLAGE BIZARRE / BLAGUES MARRANTES AVEC DU MAQUILLAGE !,801,26,28,210518,5273
6,7 Cute But Evil Animals,324,24,31,613540,17950
5,7 Cute But Evil Animals,324,24,31,528340,16419
5,7 DIY Giant Candy vs Miniature Candy / Funny Pranks!,800,26,31,1622456,22783
4,7 FOURNITURES SCOLAIRES DIY GÉANTES vs MINIATURES / BLAGUES A FAIRE EN COURS !,801,26,30,362675,7780
6,8 DIY COQUES DE TÉLÉPHONE COMESTIBLES / BLAGUES QUI SE MANGENT !,801,26,32,240053,6186
6,8 DIY Edible Phone Cases / Edible Pranks!,800,26,32,1716722,21469
7,8 DIY Edible Phone Cases / Edible Pranks!,800,26,32,4381895,37020
8,8 DIY Edible Phone Cases / Edible Pranks!,800,26,32,5909685,43894
9,8 DIY Giant vs Miniature School Supplies / Funny Pranks!,800,26,33,3145891,33202
11,8 Survival Myths That Will Definitely Make Things Worse,655,27,14,974247,28898
12,8 Survival Myths That Will Definitely Make Things Worse,655,27,14,979732,29038
1,80s/90s SUMMER OUTFIT IDEAS ☆ LOOKBOOK,428,26,27,50075,6972
6,"88RISING - midsummer madness ft. Joji, Rich Brian, Higher Brothers, AUGUST 08 (official music video)",9,24,32,587708,70499
7,"88RISING - midsummer madness ft. Joji, Rich Brian, Higher Brothers, AUGUST 08 (official music video)",9,24,32,878323,89520
9,"88RISING - midsummer madness ft. Joji, Rich Brian, Higher Brothers, AUGUST 08 (official music video)",9,24,32,1345908,110844
8,"88RISING - midsummer madness ft. Joji, Rich Brian, Higher Brothers, AUGUST 08 (official music video)",9,24,32,1233660,106817
12,9 Edible Candy Slime Pranks! Prank Wars!,800,26,38,753840,13061
9,9 PROBLEMS ALL GAMERS FACE,393,23,35,338394,12502
6,96-Year-Old Secretary Donates Secret Fortune ft. Tim DeLaGhetto & DavidSoComedy,410,25,32,80638,2620
10,A Blind Skateboarder,192,24,36,455511,24452
11,A Blind Skateboarder,192,24,36,819558,36026
2,A Boogie Wit Da Hoodie - Way Too Fly feat. Davido [Official Audio],12,1,17,926600,21414
1,A Boogie Wit Da Hoodie - Way Too Fly feat. Davido [Official Audio],12,1,17,754601,20226
0,A DAY IN MY LIFE | #AD | allanaramaa,37,26,26,49744,3220
7,A Flying Firetruck,192,24,33,634586,30408
8,A Flying Firetruck,192,24,33,1299461,47390
8,A Makeup Declutter & My Current Storage & Collection | The Anna Edit,737,26,35,43237,1763
9,A Makeup Declutter & My Current Storage & Collection | The Anna Edit,737,26,35,61222,2176
5,A STAR IS BORN - Official Trailer 1,838,24,31,1182714,27721
10,A STAR IS BORN - Official Trailer 1,838,24,31,4479383,60530
9,A STAR IS BORN - Official Trailer 1,838,24,31,4337854,58859
8,A STAR IS BORN - Official Trailer 1,838,24,31,4216551,57817
7,A STAR IS BORN - Official Trailer 1,838,24,31,3313002,50214
11,A STAR IS BORN - Official Trailer 1,838,24,31,4570970,61664
6,A STAR IS BORN - Official Trailer 1,838,24,31,2448327,41389
12,"A Used Bentley Continental GT Is a Crazy $50,000 Used Car",221,2,37,838776,15506
11,"A Used Bentley Continental GT Is a Crazy $50,000 Used Car",221,2,37,537491,12043
6,A$AP Rocky - Praise The Lord (Da Shine) (Official Video) ft. Skepta,434,10,30,2617699,175838
4,A$AP Rocky - Praise The Lord (Da Shine) (Official Video) ft. Skepta,434,10,30,1066451,111488
5,A$AP Rocky - Praise The Lord (Da Shine) (Official Video) ft. Skepta,434,10,30,1935411,148987
7,A$AP Rocky - Praise The Lord (Da Shine) (Official Video) ft. Skepta,434,10,30,3332724,196108
6,A.C.E(에이스) - TAKE ME HIGHER MV,899,10,32,256866,53448
4,ABANDONED SAFE HUGE SURPRISE!!,133,24,27,1389279,57903
2,ABANDONED SAFE HUGE SURPRISE!!,133,24,27,1075186,47775
3,ABANDONED SAFE HUGE SURPRISE!!,133,24,27,1292396,54887
8,ADULTS REACT TO GIRLS LIKE YOU - MAROON 5 (Ft. Cardi B),256,24,33,924747,38483
7,ADULTS REACT TO GIRLS LIKE YOU - MAROON 5 (Ft. Cardi B),256,24,33,358822,18335
3,"AFTER 16 YEARS, I FINALLY FOUND THIS FISH!!!",772,15,28,329872,11972
2,"AFTER 16 YEARS, I FINALLY FOUND THIS FISH!!!",772,15,28,242643,10215
0,ALI BANAT DEATH - FROM MULTI-MILLIONAIRE TO MOST GENEROUS PERSON,661,28,23,1266065,20300
3,ALICE GETS RUN OVER BY THE CAR !!! (Detroit Become Human),505,20,29,232635,27617
1,ALIENS vs. ECOSYSTEM,48,15,27,294098,14936
2,ALIENS vs. ECOSYSTEM,48,15,27,420330,18429
12,ALPHA BATTLE Between TRUMP and TRUDEAU at the G-7 (Who Do You Think Won?),738,27,37,41742,1057
1,AMAZING All You Can Eat  BBQ KEBAB Buffet in India!,693,19,7,791609,14980
3,AMAZING All You Can Eat  BBQ KEBAB Buffet in India!,693,19,7,802184,15132
2,AMAZING All You Can Eat  BBQ KEBAB Buffet in India!,693,19,7,797551,15056
0,AMAZING All You Can Eat  BBQ KEBAB Buffet in India!,693,19,7,786750,14914
7,"AMAZING Malaysian Food Tour of Ipoh! Salt Chicken, DESSERTS!",693,19,32,227831,5325
6,"AMAZING Malaysian Food Tour of Ipoh! Salt Chicken, DESSERTS!",693,19,32,150634,4178
2,AMYAH AND AZAIO’S STRAIGHT HAIR LENGTH CHECK!,468,22,28,102989,7703
2,ARGENTINOS E ITALIANO FELICES POR 2 GOLES DE GUERRERO | NO QUISIERA ENFRENTARME A PERÚ EN 8VOS,154,17,28,565911,2681
0,ASIAN STEREOTYPES (Animated),181,24,25,332537,24623
11,"ASKING ALEXANDRIA - Someone, Somewhere (Acoustic)",644,10,22,1103516,37928
0,"ASKING ALEXANDRIA - Someone, Somewhere (Acoustic)",644,10,22,514602,28356
10,"ASKING ALEXANDRIA - Someone, Somewhere (Acoustic)",644,10,22,1047613,37361
